aggressive,neutral,passive,seed,agents,cross_time,arrived,timed_out,wall_msec
0,100,0,1,100,40.8000,100,false,40781
0,100,0,2,100,42.2000,100,false,42215
0,100,0,3,100,41.7000,100,false,41717
0,100,0,4,100,42.8167,100,false,42835
0,100,0,5,100,46.7167,100,false,46727
0,100,0,6,100,41.7167,100,false,41738
0,100,0,7,100,47.9833,100,false,47996
0,100,0,8,100,43.4667,100,false,43484
0,100,0,9,100,44.4167,100,false,44436
0,100,0,10,100,44.3167,100,false,44333
100,0,0,1,100,30.5833,100,false,30591
100,0,0,2,100,32.3000,100,false,32313
100,0,0,3,100,31.9833,100,false,32002
100,0,0,4,100,28.6333,100,false,28649
100,0,0,5,100,30.5000,100,false,30512
100,0,0,6,100,27.5167,100,false,27538
100,0,0,7,100,33.0000,100,false,33016
100,0,0,8,100,31.8333,100,false,31857
100,0,0,9,100,29.6333,100,false,29643
100,0,0,10,100,29.7000,100,false,29718
0,0,100,1,100,46.7500,100,false,46766
0,0,100,2,100,45.8000,100,false,45814
0,0,100,3,100,43.1000,100,false,43118
0,0,100,4,100,46.5333,100,false,46547
0,0,100,5,100,46.1167,100,false,46140
0,0,100,6,100,44.2667,100,false,44278
0,0,100,7,100,47.5833,100,false,47603
0,0,100,8,100,44.8667,100,false,44884
0,0,100,9,100,47.9333,100,false,47948
0,0,100,10,100,48.6833,100,false,48700
50,50,0,1,100,39.8667,100,false,39879
50,50,0,2,100,46.1000,100,false,46120
50,50,0,3,100,38.7167,100,false,38730
50,50,0,4,100,36.5667,100,false,36583
50,50,0,5,100,41.1500,100,false,41165
50,50,0,6,100,38.3833,100,false,38405
50,50,0,7,100,45.6167,100,false,45630
50,50,0,8,100,39.0000,100,false,39019
50,50,0,9,100,37.3500,100,false,37363
50,50,0,10,100,41.4500,100,false,41469
50,0,50,1,100,41.4667,100,false,41472
50,0,50,2,100,42.5500,100,false,42573
50,0,50,3,100,37.6000,100,false,37619
50,0,50,4,100,40.2500,100,false,40261
50,0,50,5,100,42.4333,100,false,42456
50,0,50,6,100,40.2000,100,false,40213
50,0,50,7,100,44.9000,100,false,44919
50,0,50,8,100,38.5667,100,false,38578
50,0,50,9,100,40.0000,100,false,40020
50,0,50,10,100,41.1333,100,false,41152
0,50,50,1,100,49.2500,100,false,49256
0,50,50,2,100,46.5000,100,false,46520
0,50,50,3,100,44.2500,100,false,44270
0,50,50,4,100,40.6833,100,false,40696
0,50,50,5,100,45.8500,100,false,45871
0,50,50,6,100,42.8333,100,false,42849
0,50,50,7,100,44.6667,100,false,44685
0,50,50,8,100,44.8500,100,false,44863
0,50,50,9,100,44.9833,100,false,45001
0,50,50,10,100,43.8167,100,false,43836
33,34,33,1,100,37.1667,100,false,37178
33,34,33,2,100,41.7667,100,false,41780
33,34,33,3,100,41.1333,100,false,41151
33,34,33,4,100,40.4833,100,false,40496
33,34,33,5,100,42.0167,100,false,42035
33,34,33,6,100,39.7333,100,false,39751
33,34,33,7,100,45.3333,100,false,45354
33,34,33,8,100,42.9500,100,false,42959
33,34,33,9,100,43.4667,100,false,43484
33,34,33,10,100,39.8167,100,false,39834
